school_name,team_name,conference,logo_source_url,error
"University of Maryland, Baltimore County",Retrievers,Chesapeake Employers Insurance Arena,https://upload.wikimedia.org/wikipedia/commons/0/01/University_of_Maryland%2C_Baltimore_County_seal.svg/University_of_Maryland%2C_Baltimore_County_seal.svg.png,Download failed
Virginia Polytechnic Institute and State University,Hokies,Cassell Coliseum,https://upload.wikimedia.org/wikipedia/commons/5/54/Virginia_Tech_seal.svg/Virginia_Tech_seal.svg.png,Download failed
Gardnerâ€“Webb University,Runnin' Bulldogs,Paul Porter Arena,https://upload.wikimedia.org/wikipedia/commons/a/a3/Gardner%E2%80%93Webb_Runnin%27_Bulldogs_logo.svg/Gardner%E2%80%93Webb_Runnin%27_Bulldogs_logo.svg.png,Download failed
Sam Houston State University,Bearkats,Bernard Johnson Coliseum,https://upload.wikimedia.org/wikipedia/commons/d/de/SHSU_athletics_logo.svg/SHSU_athletics_logo.svg.png,Download failed
Siena College,Saints,MVP Arena,,No logo URL found
University of Akron,Zips,James A. Rhodes Arena,,No logo URL found
Ball State University,Cardinals,John E. Worthen Arena,,No logo URL found
Bowling Green State University,Falcons,Stroh Center,,No logo URL found
University at Buffalo,Bulls,Alumni Arena,,No logo URL found
Central Michigan University,Chippewas,McGuirk Arena,,No logo URL found
Eastern Michigan University,Eagles,Convocation Center,,No logo URL found
Kent State University,Golden Flashes,Memorial Athletic and Convocation Center,,No logo URL found
University of Massachusetts Amherst,Minutemen,Mullins Center,,No logo URL found
Miami University,RedHawks,Millett Hall,,No logo URL found
Northern Illinois University,Huskies,Convocation Center,,No logo URL found
Ohio University,Bobcats,Convocation Center,,No logo URL found
University of Toledo,Rockets,Savage Arena,https://upload.wikimedia.org/wikipedia/commons/b/b8/UT_Hortz.svg/UT_Hortz.svg.png,Download failed
