school_name,team_name,conference,logo_filename,logo_source_url
Boston College Eagles,Boston College Eagles,,boston_college_eagles.png,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png
California Golden Bears,California Golden Bears,,california_golden_bears.png,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Clemson Tigers,Clemson Tigers,,clemson_tigers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Duke Blue Devils,Duke Blue Devils,,duke_blue_devils.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Florida State Seminoles,Florida State Seminoles,,florida_state_seminoles.png,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,,georgia_tech_yellow_jackets.png,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Louisville Cardinals,Louisville Cardinals,,louisville_cardinals.png,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png
Miami Hurricanes,Miami Hurricanes,,miami_hurricanes.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
NC State Wolfpack,NC State Wolfpack,,nc_state_wolfpack.png,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png
North Carolina Tar Heels,North Carolina Tar Heels,,north_carolina_tar_heels.png,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
Notre Dame Fighting Irish,Notre Dame Fighting Irish,,notre_dame_fighting_irish.png,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png
Pittsburgh Panthers,Pittsburgh Panthers,,pittsburgh_panthers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png
SMU Mustangs,SMU Mustangs,,smu_mustangs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
Stanford Cardinal,Stanford Cardinal,,stanford_cardinal.png,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png
Syracuse Orange,Syracuse Orange,,syracuse_orange.png,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png
Virginia Cavaliers,Virginia Cavaliers,,virginia_cavaliers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Virginia Tech Hokies,Virginia Tech Hokies,,virginia_tech_hokies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png
Wake Forest Demon Deacons,Wake Forest Demon Deacons,,wake_forest_demon_deacons.png,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Austin Peay Governors,Austin Peay Governors,,austin_peay_governors.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2046.png
Bellarmine Knights,Bellarmine Knights,,bellarmine_knights.png,https://a.espncdn.com/i/teamlogos/ncaa/500/91.png
Central Arkansas Bears,Central Arkansas Bears,,central_arkansas_bears.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png
Eastern Kentucky Colonels,Eastern Kentucky Colonels,,eastern_kentucky_colonels.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png
Florida Gulf Coast Eagles,Florida Gulf Coast Eagles,,florida_gulf_coast_eagles.png,https://a.espncdn.com/i/teamlogos/ncaa/500/526.png
Jacksonville Dolphins,Jacksonville Dolphins,,jacksonville_dolphins.png,https://a.espncdn.com/i/teamlogos/ncaa/500/294.png
Lipscomb Bisons,Lipscomb Bisons,,lipscomb_bisons.png,https://a.espncdn.com/i/teamlogos/ncaa/500/288.png
North Alabama Lions,North Alabama Lions,,north_alabama_lions.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2453.png
North Florida Ospreys,North Florida Ospreys,,north_florida_ospreys.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2454.png
Queens University Royals,Queens University Royals,,queens_university_royals.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2511.png
Stetson Hatters,Stetson Hatters,,stetson_hatters.png,https://a.espncdn.com/i/teamlogos/ncaa/500/56.png
West Georgia Wolves,West Georgia Wolves,,west_georgia_wolves.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2698.png
Binghamton Bearcats,Binghamton Bearcats,,binghamton_bearcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2066.png
Bryant Bulldogs,Bryant Bulldogs,,bryant_bulldogs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2803.png
Maine Black Bears,Maine Black Bears,,maine_black_bears.png,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png
NJIT Highlanders,NJIT Highlanders,,njit_highlanders.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2885.png
New Hampshire Wildcats,New Hampshire Wildcats,,new_hampshire_wildcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/160.png
UAlbany Great Danes,UAlbany Great Danes,,ualbany_great_danes.png,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png
UMBC Retrievers,UMBC Retrievers,,umbc_retrievers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png
UMass Lowell River Hawks,UMass Lowell River Hawks,,umass_lowell_river_hawks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2349.png
Vermont Catamounts,Vermont Catamounts,,vermont_catamounts.png,https://a.espncdn.com/i/teamlogos/ncaa/500/261.png
Charlotte 49ers,Charlotte 49ers,,charlotte_49ers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
East Carolina Pirates,East Carolina Pirates,,east_carolina_pirates.png,https://a.espncdn.com/i/teamlogos/ncaa/500/151.png
Florida Atlantic Owls,Florida Atlantic Owls,,florida_atlantic_owls.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
Memphis Tigers,Memphis Tigers,,memphis_tigers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png
North Texas Mean Green,North Texas Mean Green,,north_texas_mean_green.png,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png
Rice Owls,Rice Owls,,rice_owls.png,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png
South Florida Bulls,South Florida Bulls,,south_florida_bulls.png,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png
Temple Owls,Temple Owls,,temple_owls.png,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png
Tulane Green Wave,Tulane Green Wave,,tulane_green_wave.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
Tulsa Golden Hurricane,Tulsa Golden Hurricane,,tulsa_golden_hurricane.png,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png
UAB Blazers,UAB Blazers,,uab_blazers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png
UTSA Roadrunners,UTSA Roadrunners,,utsa_roadrunners.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
Wichita State Shockers,Wichita State Shockers,,wichita_state_shockers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png
Davidson Wildcats,Davidson Wildcats,,davidson_wildcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2166.png
Dayton Flyers,Dayton Flyers,,dayton_flyers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png
Duquesne Dukes,Duquesne Dukes,,duquesne_dukes.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png
Fordham Rams,Fordham Rams,,fordham_rams.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2230.png
George Mason Patriots,George Mason Patriots,,george_mason_patriots.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png
George Washington Revolutionaries,George Washington Revolutionaries,,george_washington_revolutionaries.png,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png
La Salle Explorers,La Salle Explorers,,la_salle_explorers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2325.png
Loyola Chicago Ramblers,Loyola Chicago Ramblers,,loyola_chicago_ramblers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2350.png
Rhode Island Rams,Rhode Island Rams,,rhode_island_rams.png,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png
Richmond Spiders,Richmond Spiders,,richmond_spiders.png,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png
Saint Joseph's Hawks,Saint Joseph's Hawks,,saint_josephs_hawks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png
Saint Louis Billikens,Saint Louis Billikens,,saint_louis_billikens.png,https://a.espncdn.com/i/teamlogos/ncaa/500/139.png
St. Bonaventure Bonnies,St. Bonaventure Bonnies,,st_bonaventure_bonnies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/179.png
VCU Rams,VCU Rams,,vcu_rams.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png
Arizona State Sun Devils,Arizona State Sun Devils,,arizona_state_sun_devils.png,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arizona Wildcats,Arizona Wildcats,,arizona_wildcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
BYU Cougars,BYU Cougars,,byu_cougars.png,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Baylor Bears,Baylor Bears,,baylor_bears.png,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Cincinnati Bearcats,Cincinnati Bearcats,,cincinnati_bearcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Colorado Buffaloes,Colorado Buffaloes,,colorado_buffaloes.png,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Houston Cougars,Houston Cougars,,houston_cougars.png,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Iowa State Cyclones,Iowa State Cyclones,,iowa_state_cyclones.png,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png
Kansas Jayhawks,Kansas Jayhawks,,kansas_jayhawks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas State Wildcats,Kansas State Wildcats,,kansas_state_wildcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Oklahoma State Cowboys,Oklahoma State Cowboys,,oklahoma_state_cowboys.png,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png
TCU Horned Frogs,TCU Horned Frogs,,tcu_horned_frogs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
Texas Tech Red Raiders,Texas Tech Red Raiders,,texas_tech_red_raiders.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
UCF Knights,UCF Knights,,ucf_knights.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
Utah Utes,Utah Utes,,utah_utes.png,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png
West Virginia Mountaineers,West Virginia Mountaineers,,west_virginia_mountaineers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Butler Bulldogs,Butler Bulldogs,,butler_bulldogs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png
Creighton Bluejays,Creighton Bluejays,,creighton_bluejays.png,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png
DePaul Blue Demons,DePaul Blue Demons,,depaul_blue_demons.png,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png
Georgetown Hoyas,Georgetown Hoyas,,georgetown_hoyas.png,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png
Marquette Golden Eagles,Marquette Golden Eagles,,marquette_golden_eagles.png,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png
Providence Friars,Providence Friars,,providence_friars.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png
Seton Hall Pirates,Seton Hall Pirates,,seton_hall_pirates.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2550.png
St. John's Red Storm,St. John's Red Storm,,st_johns_red_storm.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png
UConn Huskies,UConn Huskies,,uconn_huskies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Villanova Wildcats,Villanova Wildcats,,villanova_wildcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png
Xavier Musketeers,Xavier Musketeers,,xavier_musketeers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png
Eastern Washington Eagles,Eastern Washington Eagles,,eastern_washington_eagles.png,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png
Idaho State Bengals,Idaho State Bengals,,idaho_state_bengals.png,https://a.espncdn.com/i/teamlogos/ncaa/500/304.png
Idaho Vandals,Idaho Vandals,,idaho_vandals.png,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png
Montana Grizzlies,Montana Grizzlies,,montana_grizzlies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/149.png
Montana State Bobcats,Montana State Bobcats,,montana_state_bobcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png
Northern Arizona Lumberjacks,Northern Arizona Lumberjacks,,northern_arizona_lumberjacks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png
Northern Colorado Bears,Northern Colorado Bears,,northern_colorado_bears.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png
Portland State Vikings,Portland State Vikings,,portland_state_vikings.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png
Sacramento State Hornets,Sacramento State Hornets,,sacramento_state_hornets.png,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png
Weber State Wildcats,Weber State Wildcats,,weber_state_wildcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png
Charleston Southern Buccaneers,Charleston Southern Buccaneers,,charleston_southern_buccaneers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png
Gardner-Webb Runnin' Bulldogs,Gardner-Webb Runnin' Bulldogs,,gardner-webb_runnin_bulldogs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2241.png
High Point Panthers,High Point Panthers,,high_point_panthers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png
Longwood Lancers,Longwood Lancers,,longwood_lancers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2344.png
Presbyterian Blue Hose,Presbyterian Blue Hose,,presbyterian_blue_hose.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png
Radford Highlanders,Radford Highlanders,,radford_highlanders.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png
South Carolina Upstate Spartans,South Carolina Upstate Spartans,,south_carolina_upstate_spartans.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2908.png
UNC Asheville Bulldogs,UNC Asheville Bulldogs,,unc_asheville_bulldogs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png
Winthrop Eagles,Winthrop Eagles,,winthrop_eagles.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2737.png
Illinois Fighting Illini,Illinois Fighting Illini,,illinois_fighting_illini.png,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Indiana Hoosiers,Indiana Hoosiers,,indiana_hoosiers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Iowa Hawkeyes,Iowa Hawkeyes,,iowa_hawkeyes.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Maryland Terrapins,Maryland Terrapins,,maryland_terrapins.png,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Michigan State Spartans,Michigan State Spartans,,michigan_state_spartans.png,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Michigan Wolverines,Michigan Wolverines,,michigan_wolverines.png,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Minnesota Golden Gophers,Minnesota Golden Gophers,,minnesota_golden_gophers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png
Nebraska Cornhuskers,Nebraska Cornhuskers,,nebraska_cornhuskers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png
Northwestern Wildcats,Northwestern Wildcats,,northwestern_wildcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png
Ohio State Buckeyes,Ohio State Buckeyes,,ohio_state_buckeyes.png,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png
Oregon Ducks,Oregon Ducks,,oregon_ducks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
Penn State Nittany Lions,Penn State Nittany Lions,,penn_state_nittany_lions.png,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png
Purdue Boilermakers,Purdue Boilermakers,,purdue_boilermakers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
Rutgers Scarlet Knights,Rutgers Scarlet Knights,,rutgers_scarlet_knights.png,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png
UCLA Bruins,UCLA Bruins,,ucla_bruins.png,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png
USC Trojans,USC Trojans,,usc_trojans.png,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png
Washington Huskies,Washington Huskies,,washington_huskies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png
Wisconsin Badgers,Wisconsin Badgers,,wisconsin_badgers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png
Cal Poly Mustangs,Cal Poly Mustangs,,cal_poly_mustangs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png
Cal State Bakersfield Roadrunners,Cal State Bakersfield Roadrunners,,cal_state_bakersfield_roadrunners.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png
Cal State Fullerton Titans,Cal State Fullerton Titans,,cal_state_fullerton_titans.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2239.png
Cal State Northridge Matadors,Cal State Northridge Matadors,,cal_state_northridge_matadors.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2463.png
Hawai'i Rainbow Warriors,Hawai'i Rainbow Warriors,,hawaii_rainbow_warriors.png,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png
Long Beach State Beach,Long Beach State Beach,,long_beach_state_beach.png,https://a.espncdn.com/i/teamlogos/ncaa/500/299.png
UC Davis Aggies,UC Davis Aggies,,uc_davis_aggies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png
UC Irvine Anteaters,UC Irvine Anteaters,,uc_irvine_anteaters.png,https://a.espncdn.com/i/teamlogos/ncaa/500/300.png
UC Riverside Highlanders,UC Riverside Highlanders,,uc_riverside_highlanders.png,https://a.espncdn.com/i/teamlogos/ncaa/500/27.png
UC San Diego Tritons,UC San Diego Tritons,,uc_san_diego_tritons.png,https://a.espncdn.com/i/teamlogos/ncaa/500/28.png
UC Santa Barbara Gauchos,UC Santa Barbara Gauchos,,uc_santa_barbara_gauchos.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png
Campbell Fighting Camels,Campbell Fighting Camels,,campbell_fighting_camels.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png
Charleston Cougars,Charleston Cougars,,charleston_cougars.png,https://a.espncdn.com/i/teamlogos/ncaa/500/232.png
Drexel Dragons,Drexel Dragons,,drexel_dragons.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2182.png
Elon Phoenix,Elon Phoenix,,elon_phoenix.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png
Hampton Pirates,Hampton Pirates,,hampton_pirates.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png
Hofstra Pride,Hofstra Pride,,hofstra_pride.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png
Monmouth Hawks,Monmouth Hawks,,monmouth_hawks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png
North Carolina A&T Aggies,North Carolina A&T Aggies,,north_carolina_at_aggies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png
Northeastern Huskies,Northeastern Huskies,,northeastern_huskies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png
Stony Brook Seawolves,Stony Brook Seawolves,,stony_brook_seawolves.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png
Towson Tigers,Towson Tigers,,towson_tigers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png
UNC Wilmington Seahawks,UNC Wilmington Seahawks,,unc_wilmington_seahawks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/350.png
William & Mary Tribe,William & Mary Tribe,,william_mary_tribe.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png
Delaware Blue Hens,Delaware Blue Hens,,delaware_blue_hens.png,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png
Florida International Panthers,Florida International Panthers,,florida_international_panthers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
Jacksonville State Gamecocks,Jacksonville State Gamecocks,,jacksonville_state_gamecocks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png
Kennesaw State Owls,Kennesaw State Owls,,kennesaw_state_owls.png,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png
Liberty Flames,Liberty Flames,,liberty_flames.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
Louisiana Tech Bulldogs,Louisiana Tech Bulldogs,,louisiana_tech_bulldogs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
Middle Tennessee Blue Raiders,Middle Tennessee Blue Raiders,,middle_tennessee_blue_raiders.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
Missouri State Bears,Missouri State Bears,,missouri_state_bears.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png
New Mexico State Aggies,New Mexico State Aggies,,new_mexico_state_aggies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png
Sam Houston Bearkats,Sam Houston Bearkats,,sam_houston_bearkats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png
UTEP Miners,UTEP Miners,,utep_miners.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
Western Kentucky Hilltoppers,Western Kentucky Hilltoppers,,western_kentucky_hilltoppers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png
Cleveland State Vikings,Cleveland State Vikings,,cleveland_state_vikings.png,https://a.espncdn.com/i/teamlogos/ncaa/500/325.png
Detroit Mercy Titans,Detroit Mercy Titans,,detroit_mercy_titans.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2174.png
Green Bay Phoenix,Green Bay Phoenix,,green_bay_phoenix.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png
IU Indianapolis Jaguars,IU Indianapolis Jaguars,,iu_indianapolis_jaguars.png,https://a.espncdn.com/i/teamlogos/ncaa/500/85.png
Milwaukee Panthers,Milwaukee Panthers,,milwaukee_panthers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/270.png
Northern Kentucky Norse,Northern Kentucky Norse,,northern_kentucky_norse.png,https://a.espncdn.com/i/teamlogos/ncaa/500/94.png
Oakland Golden Grizzlies,Oakland Golden Grizzlies,,oakland_golden_grizzlies.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png
Purdue Fort Wayne Mastodons,Purdue Fort Wayne Mastodons,,purdue_fort_wayne_mastodons.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2870.png
Robert Morris Colonials,Robert Morris Colonials,,robert_morris_colonials.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png
Wright State Raiders,Wright State Raiders,,wright_state_raiders.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2750.png
Youngstown State Penguins,Youngstown State Penguins,,youngstown_state_penguins.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png
Brown Bears,Brown Bears,,brown_bears.png,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png
Columbia Lions,Columbia Lions,,columbia_lions.png,https://a.espncdn.com/i/teamlogos/ncaa/500/171.png
Cornell Big Red,Cornell Big Red,,cornell_big_red.png,https://a.espncdn.com/i/teamlogos/ncaa/500/172.png
Dartmouth Big Green,Dartmouth Big Green,,dartmouth_big_green.png,https://a.espncdn.com/i/teamlogos/ncaa/500/159.png
Harvard Crimson,Harvard Crimson,,harvard_crimson.png,https://a.espncdn.com/i/teamlogos/ncaa/500/108.png
Pennsylvania Quakers,Pennsylvania Quakers,,pennsylvania_quakers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/219.png
Princeton Tigers,Princeton Tigers,,princeton_tigers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/163.png
